Disease	Total_Genes	Seed_Genes	Subsystems	Subsystems_Aligned_to_GO	NDEx_URL	HiView_URL
cutis_laxa__autosomal_dominant	4	2	1	1	http://dev2.ndexbio.org/v2/network/5a9257a6-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/5a9257a6-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
restrictive_dermopathy	2	2	1	1	http://dev2.ndexbio.org/v2/network/e46b3b02-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/e46b3b02-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
familial_glucocorticoid_deficiency__fgd_	8	2	4	2	http://dev2.ndexbio.org/v2/network/9c8d0f27-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/9c8d0f27-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
multiple_acyl_coa_dehydrogenation_deficiency__mild_type	3	3	2	1	http://dev2.ndexbio.org/v2/network/67dfd6af-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/67dfd6af-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
epidermolysis_bullosa_simplex_with_pyloric_atresia	5	2	3	1	http://dev2.ndexbio.org/v2/network/745f90bb-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/745f90bb-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
carcinosarcoma	2	2	1	1	http://dev2.ndexbio.org/v2/network/10b88ca8-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/10b88ca8-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
isolated_growth_hormone_deficiency__type_2	147	2	70	18	http://dev2.ndexbio.org/v2/network/280b5b1b-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/280b5b1b-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
tuberous_sclerosis	2	2	1	1	http://dev2.ndexbio.org/v2/network/9fa8e295-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/9fa8e295-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
exfoliative_ichthyosis	18	2	7	6	http://dev2.ndexbio.org/v2/network/13ff8527-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/13ff8527-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
sclerosteosis	2	2	1	1	http://dev2.ndexbio.org/v2/network/ec12761e-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/ec12761e-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
epidermolysis_bullosa_simplex__cockayne_touraine_type	69	3	27	18	http://dev2.ndexbio.org/v2/network/75e91771-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/75e91771-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
fibular_hypoplasia_and_complex_brachydactyly	3	2	2	1	http://dev2.ndexbio.org/v2/network/a643c891-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/a643c891-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
combined_deficiency_of_factor_v_and_factor_viii	47	2	20	11	http://dev2.ndexbio.org/v2/network/12c5e85a-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/12c5e85a-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
lymphangioleiomyomatosis__lam_	2	2	1	1	http://dev2.ndexbio.org/v2/network/b272b81d-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/b272b81d-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
waardenburg_syndrome__type_2e	21	2	8	4	http://dev2.ndexbio.org/v2/network/4ff71f11-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/4ff71f11-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
ehlers_danlos_syndrome_type_2	20	3	8	5	http://dev2.ndexbio.org/v2/network/54287f18-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/54287f18-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
ectodermal_dysplasia_1__hypohidrotic__x_linked	2	2	1	1	http://dev2.ndexbio.org/v2/network/4f7ef3ec-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/4f7ef3ec-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
loeys_dietz_syndrome__lds_	6	4	5	1	http://dev2.ndexbio.org/v2/network/4f8c1e31-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/4f8c1e31-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
bartter_syndrome	197	6	83	46	http://dev2.ndexbio.org/v2/network/8aa51f98-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/8aa51f98-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
helicobacter_infections	316	3	134	58	http://dev2.ndexbio.org/v2/network/1c92a58e-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/1c92a58e-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
multiple_congenital_exostosis	2	2	1	1	http://dev2.ndexbio.org/v2/network/6758300b-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/6758300b-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
dyskeratosis_congenita_autosomal_recessive_1	65	3	37	10	http://dev2.ndexbio.org/v2/network/4dd75e48-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/4dd75e48-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
ehlers_danlos_syndrome__classic_type	20	3	8	5	http://dev2.ndexbio.org/v2/network/62afd301-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/62afd301-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
hermansky_pudlak_syndrome_without_pulmonary_fibrosis	215	3	89	4	http://dev2.ndexbio.org/v2/network/f1e9a054-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/f1e9a054-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
metachromatic_leukodystrophy__adult_form	73	2	20	12	http://dev2.ndexbio.org/v2/network/649bcfc6-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/649bcfc6-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
peripheral_artery_disease	10	2	4	1	http://dev2.ndexbio.org/v2/network/baab842e-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/baab842e-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
foot_deformities__congenital	389	4	162	82	http://dev2.ndexbio.org/v2/network/24f4cbe4-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/24f4cbe4-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
cockayne_syndrome__type_3	2	2	1	1	http://dev2.ndexbio.org/v2/network/d56b94dd-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/d56b94dd-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
epidermolysis_bullosa_simplex__dowling_meara_type	2	2	1	1	http://dev2.ndexbio.org/v2/network/6d638a2b-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/6d638a2b-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
viral_infectious_disease	262	2	82	47	http://dev2.ndexbio.org/v2/network/590193bd-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/590193bd-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
mesenteric_ischemia	4	2	2	2	http://dev2.ndexbio.org/v2/network/5e3d685c-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/5e3d685c-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
bardet_biedl_syndrome_11	312	2	135	50	http://dev2.ndexbio.org/v2/network/bbb9f8ed-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/bbb9f8ed-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
atypical_glycine_encephalopathy	3	3	2	2	http://dev2.ndexbio.org/v2/network/4bd9d67b-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/4bd9d67b-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
phenylketonuria	2	2	1	1	http://dev2.ndexbio.org/v2/network/bcc5b206-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/bcc5b206-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
3_methylcrotonyl_coa_carboxylase_1_deficiency	2	2	1	1	http://dev2.ndexbio.org/v2/network/3f7a442e-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/3f7a442e-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
white_sponge_nevus_1	2	2	1	1	http://dev2.ndexbio.org/v2/network/3af85db8-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/3af85db8-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
juvenile_glaucoma	35	2	14	3	http://dev2.ndexbio.org/v2/network/1fef8ce1-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/1fef8ce1-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
bethlem_myopathy	7	4	2	1	http://dev2.ndexbio.org/v2/network/9ed175b5-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/9ed175b5-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
chlamydia_infections	2	2	1	1	http://dev2.ndexbio.org/v2/network/c1f2d655-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/c1f2d655-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
maffucci_syndrome	2	2	1	1	http://dev2.ndexbio.org/v2/network/697c21dd-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/697c21dd-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
sick_sinus_syndrome__sss___sinus_node_dysfunction	9	2	4	1	http://dev2.ndexbio.org/v2/network/05565b53-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/05565b53-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
autosomal_recessive_infantile_hypercalcemia	187	2	66	31	http://dev2.ndexbio.org/v2/network/ad02e25d-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/ad02e25d-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
leydig_cell_tumor	46	2	12	6	http://dev2.ndexbio.org/v2/network/3d3d87ec-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/3d3d87ec-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
autosomal_recessive_pseudohypoaldosteronism_type_1	4	3	1	1	http://dev2.ndexbio.org/v2/network/4a00a97b-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/4a00a97b-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
benign_ependymoma	222	2	111	26	http://dev2.ndexbio.org/v2/network/b14260a3-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/b14260a3-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
cutis_laxa__autosomal_recessive__type_1a	3	3	1	1	http://dev2.ndexbio.org/v2/network/6139fc76-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/6139fc76-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
alzheimer_s_disease__ad_	6	4	3	1	http://dev2.ndexbio.org/v2/network/2d76c15c-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/2d76c15c-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
carney_triad	4	3	3	0	http://dev2.ndexbio.org/v2/network/aef22ea6-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/aef22ea6-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
split_hand_foot_malformation__shfm_	211	2	87	32	http://dev2.ndexbio.org/v2/network/28ff1481-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/28ff1481-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
epidermolysis_bullosa_simplex	2	2	1	1	http://dev2.ndexbio.org/v2/network/7edad33e-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/7edad33e-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
cerebral_cavernous_malformation	4	3	3	0	http://dev2.ndexbio.org/v2/network/bcd6dac9-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/bcd6dac9-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
3_methylcrotonylglycinuria__3_methylcrotonyl_coa_carboxylase_deficiency	2	2	1	1	http://dev2.ndexbio.org/v2/network/22a17794-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/22a17794-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
azotemia	22	2	13	4	http://dev2.ndexbio.org/v2/network/585e0773-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/585e0773-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
myeloproliferative_disorder__chronic__with_eosinophilia	6	2	4	0	http://dev2.ndexbio.org/v2/network/794b11af-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/794b11af-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
glaucoma__congenital	115	2	33	18	http://dev2.ndexbio.org/v2/network/c58f9060-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/c58f9060-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
waardenburg_syndrome__type_4a	53	3	17	9	http://dev2.ndexbio.org/v2/network/51c4b3a5-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/51c4b3a5-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
waardenburg_shah_syndrome	53	3	17	9	http://dev2.ndexbio.org/v2/network/54305c3c-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/54305c3c-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
nephrotic_syndrome__idiopathic__steroid_resistant	11	3	5	2	http://dev2.ndexbio.org/v2/network/8b395eb9-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/8b395eb9-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
leber_optic_atrophy_and_dystonia	11	2	5	0	http://dev2.ndexbio.org/v2/network/2bdc115f-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/2bdc115f-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
polyploidy	215	4	91	53	http://dev2.ndexbio.org/v2/network/4c5678eb-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/4c5678eb-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
megalencephaly_polymicrogyria_polydactyly_hydrocephalus_syndrome_1	239	4	112	44	http://dev2.ndexbio.org/v2/network/90616870-e9c2-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/90616870-e9c2-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
cardiofaciocutaneous_syndrome_1	12	4	8	2	http://dev2.ndexbio.org/v2/network/ace28916-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/ace28916-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
fanconi_anemia__complementation_group_a	63	9	28	14	http://dev2.ndexbio.org/v2/network/ad980087-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/ad980087-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
cofs_syndrome	29	4	9	6	http://dev2.ndexbio.org/v2/network/f54a9aed-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/f54a9aed-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
cockayne_syndrome_type_1	8	3	4	1	http://dev2.ndexbio.org/v2/network/07e41c7d-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/07e41c7d-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
enlarged_parietal_foramina_cranium_bifidum	300	2	133	43	http://dev2.ndexbio.org/v2/network/bf3595e7-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/bf3595e7-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
ullrich_congenital_muscular_dystrophy_1	3	3	1	1	http://dev2.ndexbio.org/v2/network/2c4ba74f-e9c3-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/2c4ba74f-e9c3-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
bartter_disease_type_4a	3	3	1	1	http://dev2.ndexbio.org/v2/network/6cb899b2-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/6cb899b2-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
familial_congenital_mirror_movements	345	2	134	55	http://dev2.ndexbio.org/v2/network/ea49b976-e9c1-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/ea49b976-e9c1-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
autosomal_recessive_lymphoproliferative_disease	29	2	22	4	http://dev2.ndexbio.org/v2/network/9a32246b-e9c0-11e8-ad43-0660b7976219	http://hiview-test.ucsd.edu/9a32246b-e9c0-11e8-ad43-0660b7976219?type=test&server=http://dev2.ndexbio.org
