Disease	NDEx	Genes	Terms
short_rib_polydactyly_syndrome__majewski_type		173	91
gastrotintestinal_stromal_tumor		10	4
microcephaly_with_chorioretinopathy__autosomal_recessive		3	1
ichthyosis__congenital__autosomal_recessive_2		3	1
autosomal_recessive_pseudohypoaldosteronism_type_1		4	1
endocrine_system_disease		301	133
eosinophilic_granulomatosis_with_polyangiitis__churg_strauss_syndrome		277	114
glycogen_storage_disease_ixc		2	1
thyrotoxicosis		124	52
aceruloplasminemia		4	4
fibrochondrogenesis		10	5
breast_fibroadenoma		169	69
cryptorchidism__unilateral_or_bilateral		51	10
cortisone_reductase_deficiency_1		36	16
congenital_adrenal_hyperplasia__cah_		9	6
rh_deficiency_syndrome		5	1
polycystic_lipomembranous_osteodysplasia_with_sclerosing_leukoencephalopathy		17	9
joubert_syndrome_21		414	201
tic_disorder		284	92
familial_cerebral_cavernous_malformation		4	3
foot_deformities__congenital		389	162
behr_syndrome		78	39
arthrogryposis__renal_dysfunction__and_cholestasis__arc_syndrome		2	1
familial_glucocorticoid_deficiency__fgd_		8	4
cholesterol_monooxygenase__side_chain_cleaving__deficiency		7	4
rotor_syndrome		4	2
familial_erythrocytosis_1		264	112
leukoencephalopathy_with_vanishing_white_matter		5	1
congenital_or_early_infantile_cach_syndrome		5	1
cree_leukoencephalopathy		5	1
myasthenic_syndrome__congenital__21__presynaptic		11	6
oropharyngeal_cancer		329	120
autosomal_recessive_nonsyndromic_deafness_1b		5	3
wiedemann_steiner_syndrome		220	101
naxos_disease_and_carvajal_syndrome		2	1
autosomal_dominant_secondary_polycythemia		2	1
myopathy__lactic_acidosis__and_sideroblastic_anemia		13	9
maple_syrup_urine_disease		68	26
spermatogenesis_arrest		89	42
autosomal_recessive_limb_girdle_muscular_dystrophy_type_2h		312	135
intermediate_nemaline_myopathy		112	46
bare_lymphocyte_syndrome_type_1		15	8
juvenile_glaucoma		35	14
restrictive_dermopathy		2	1
severe_combined_immunodeficiency__autosomal_recessive__t_cell_negative__b_cell_negative__nk_cell_positive		2	1
familial_porencephaly		2	1
meier_gorlin_syndrome		33	14
pharynx_cancer		6	3
cockayne_syndrome		2	1
high_bone_mass_osteogenesis_imperfecta		2	1
megaesophagus		3	2
cortisone_reductase_deficiency__crd_		36	16
pseudohypoaldosteronism__type_2		5	1
acute_myeloid_leukemia_with_t_9_11__p22_q23_		8	2
tonsillar_cancer		7	5
benign_ependymoma		222	111
cold_induced_sweating_syndrome__ciss__and_crisponi_syndrome__crisps_		2	1
multiple_acyl_coa_dehydrogenation_deficiency__mild_type		3	2
distal_arthrogryposis__da_		18	4
peptic_ulcer_disease		355	150
renal_hypouricemia__rhuc_		2	1
solitary_fibrous_tumor		50	25
martsolf_syndrome		2	1
griscelli_syndrome__type_3		2	1
alzheimer_disease_4		11	10
diarrhea_2__with_microvillus_atrophy		9	7
hypereosinophilic_syndrome		139	75
familial_hypobetalipoproteinemia__fhbl_		48	23
3_m_syndrome		3	1
congenital_factor_xiii_deficiency		2	1
jackson_weiss_syndrome		9	2
epidermolysis_bullosa_simplex_with_pyloric_atresia		5	3
oropharynx_cancer		391	132
epidermodysplasia_verruciformis		2	1
xeroderma_pigmentosum__complementation_group_a		10	5
hyperlipoproteinemia_type_iii		4	1
juvenile_polyposis_syndrome		231	99
polyploidy		215	91
cockayne_syndrome_type_1		8	4
autosomal_dominant_nocturnal_frontal_lobe_epilepsy__adnfle___nocturnal_frontal_lobe_epilepsy__nfle_		3	1
cockayne_syndrome_type_2		24	9
hyperalphalipoproteinemia		7	6
megaepiphyseal_dwarfism		3	1
myeloproliferative_disorder__chronic__with_eosinophilia		6	4
epidermolysis_bullosa_simplex__cockayne_touraine_type		69	27
primary_congenital_glaucoma__pcg_		115	33
complete_atrioventricular_canal_fallot_tetralogy_syndrome		20	10
exfoliative_ichthyosis		18	7
saldino_mainzer_syndrome		18	4
alagille_syndrome		3	2
isolated_focal_cortical_dysplasia_type_iib		240	93
ectodermal_dysplasia_1__hypohidrotic__x_linked		2	1
gitelman_syndrome		26	9
pancreatitis__hereditary		249	88
rieger_anomaly		2	1
cerebral_amyloid_angiopathy__caa___hereditary_cerebral_hemorrhage_with_amyloidosis		2	1
baraitser_winter_syndrome		2	1
lymphangioleiomyomatosis__lam_		2	1
proteus_syndrome		15	9
cerebral_cavernous_malformation		4	3
primary_ciliary_dyskinesia_28		19	8
bethlem_myopathy_1		3	1
bartter_disease_type_4a		3	1
hypotonia_speech_impairment_severe_cognitive_delay_syndrome		3	2
emery_dreifuss_muscular_dystrophy		167	70
polymerase_proofreading_related_adenomatous_polyposis		5	3
hereditary_combined_deficiency_of_vitamin_k_dependent_clotting_factors		70	29
helicobacter_infections		316	134
cafe_au_lait_spots__multiple		10	5
seizures__benign_familial_neonatal__2		2	1
hepatorenal_syndrome		89	31
peripheral_resistance_to_thyroid_hormones		6	2
leukodystrophy__hypomyelinating__7__with_or_without_oligodontia_and_or_hypogonadotropic_hypogonadism		4	1
benign_familial_neonatal_epilepsy		2	1
autosomal_recessive_distal_renal_tubular_acidosis		7	1
sclerosteosis		2	1
bartter_disease		37	14
seminoma		417	156
3mc_syndrome		6	2
renal_hypomagnesemia_3		104	63
renal_hypomagnesemia_2		20	8
infantile_myofibromatosis		19	10
cardiovirus_infections		418	203
weaver_syndrome		310	169
acne_inversa__hidradenitis_suppurativa		6	1
ocular_albinism__ocular_albinism__type_i__oa1___waardenburg_syndrome__type_ii__ws2_oa_		29	11
medullary_thyroid_cancer		20	9
diabetes_insipidus__nephrogenic__x_linked		24	13
leukoencephalopathy_with_vanishing_white_matter__vanishing_white_matter_disease__childhood_ataxia_with_diffuse_central_nervous_system_hypomyelination__cach___cree_leukoencephalopathy__cle_		5	1
familial_renal_hypouricemia		2	1
severe_cutaneous_adverse_reaction__susceptibility_to		4	2
multiple_benign_circumferential_skin_creases_on_limbs		322	120
ullrich_congenital_muscular_dystrophy_1		3	1
platelet_type_bleeding_disorder_8		194	101
cholesterol_embolism		3	1
short_rib_polydactyly_syndrome		173	91
sagittal_sinus_thrombosis		2	1
peroxisome_biogenesis_disorder_1b		4	2
dementia__lewy_body		9	6
mitral_valve_prolapse		466	222
benign_epilepsy_with_centrotemporal_spikes		169	54
axenfeld_anomaly		2	1
chromosome_17q23_1_q23_2_deletion_syndrome		9	3
retinitis_punctata_albescens		284	118
autosomal_recessive_infantile_hypercalcemia		187	66
helicobacter_pylori_infection__susceptibility_to		368	162
albinism__ocular__with_sensorineural_deafness		39	16
acute_basophilic_leukemia		10	8
autosomal_dominant_striatal_degeneration__adsd_		4	2
refsum_disease__heredopathia_atactica_polyneuritiformis		2	1
leukemia__chronic_myeloid		8	2
bethlem_myopathy		7	2
spinal_muscular_atrophy__type_3		498	202
acth_deficiency__isolated		424	196
idiopathic_bronchiectasis		353	134
epidermolysis_bullosa_junctionalis_with_pyloric_atresia		7	3
3_methylcrotonylglycinuria__3_methylcrotonyl_coa_carboxylase_deficiency		2	1
46_xy_disorder_of_sex_development_due_to_testicular_17_20_desmolase_deficiency		4	2
nonketotic_hyperglycinemia__glycine_encephalopathy__gce_		3	2
bronchiectasis		40	10
hypoalphalipoproteinemia		3	2
hypocalcemia__autosomal_dominant_1		96	17
nodulosis_arthropathy_osteolysis_syndrome		3	1
visceral_myopathy		2	1
afibrinogenemia__dysfibrinogenemia		3	1
gaucher_disease__type_1		2	1
congenital_fiber_type_disproportion		23	15
infantile_cerebellar_retinal_degeneration		193	74
hermansky_pudlak_syndrome_without_pulmonary_fibrosis		215	89
congenital_amegakaryocytic_thrombocytopenia__camt_		2	1
meningitis		96	30
cadds		284	112
sciatic_neuropathy		28	8
hereditary_persistence_of_fetal_hemoglobin_beta_thalassemia_syndrome		64	27
severe_neonatal_lactic_acidosis_due_to_nfs1_isd11_complex_deficiency		2	1
autosomal_recessive_early_onset_parkinson_disease_15		43	20
li_fraumeni_syndrome_1		25	11
li_fraumeni_syndrome_2		25	10
familial_advanced_sleep_phase_syndrome		7	3
pfeiffer_syndrome_type_1		9	2
kid_syndrome		5	3
bardet_biedl_syndrome_14		12	4
hereditary_elliptocytosis__he_		29	10
bardet_biedl_syndrome_11		312	135
waardenburg_syndrome__type_4c		21	8
homozygous_familial_hypercholesterolemia		100	49
age_related_macular_degeneration_14		5	3
hemimegalencephaly		203	90
cerebro_oculo_facio_skeletal_syndrome		3	1
parapsoriasis		8	5
hemoglobin_lepore_beta_thalassemia_syndrome		5	3
dermatofibrosarcoma_protuberans		5	3
factor_viii_deficiency		4	2
cowden_syndrome_2		4	3
familial_hypoalphalipoproteinemia		3	2
junctional_epidermolysis_bullosa_herlitz_type		3	1
hodgkin_lymphoma		386	141
gluconobacter_infection		5	3
melnick_fraser_syndrome		2	1
well_differentiated_liposarcoma		298	129
chondrodysplasia__grebe_type		3	2
juvenile_retinoschisis		259	106
combined_deficiency_of_factor_v_and_factor_viii__1		47	20
hepatocellular_fibrolamellar_carcinoma		62	32
primary_microcephaly_mild_intellectual_disability_young_onset_diabetes_syndrome		413	197
cowden_like_syndrome		4	3
brain_diseases__metabolic		82	45
sodium_channelopathy_related_small_fiber_neuropathy		3	1
vitamin_e__familial_isolated_deficiency_of		171	59
wilson_turner_x_linked_mental_retardation_syndrome		17	12
polycystic_lipomembranous_osteodysplasia_with_sclerosing_leukoencephalopathy__plosl___nasu_hakola_disease		17	9
metachromatic_leukodystrophy__adult_form		73	20
protein_deficiency		143	62
epileptic_encephalopathy__early_infantile__31		411	164
thyroid_ectopia		8	10
ras_associated_autoimmune_leukoproliferative_disorder		2	1
platelet_type_bleeding_disorder_16		4	1
cranioectodermal_dysplasia		3	2
fibular_hypoplasia_and_complex_brachydactyly		3	2
primary_localized_cutaneous_amyloidosis__plca_		2	1
palmoplantar_keratoderma_i__striate__focal__or_diffuse		13	4
centronuclear_myopathy		406	169
peripheral_primitive_neuroectodermal_tumor		11	4
chromosome_17p13_3__centromeric__duplication_syndrome		113	41
hereditary_pulmonary_alveolar_proteinosis		4	2
congenital_myopathy		3	1
leydig_cell_tumor		46	12
afibrinogenemia__congenital		3	1
congenital_myasthenic_syndromes_with_glycosylation_defect		412	157
fanconi_anemia__complementation_group_a		63	28
glc3b		115	33
ureteral_calculi		340	143
carney_triad		4	3
basal_cell_nevus_syndrome__nevoid_basal_cell_carcinoma_syndrome__gorlin_syndrome		484	245
t_b__severe_combined_immunodeficiency_due_to_cd3delta_cd3epsilon_cd3zeta		3	1
crisponi_syndrome		2	1
precocious_puberty__male_limited		18	9
tuberous_sclerosis		2	1
phosphoenolpyruvate_carboxykinase_deficiency		2	1
arteritis		205	79
clear_cell_adenocarcinoma		8	2
glucocorticoid_remediable_aldosteronism__gra_		2	1
white_sponge_nevus_1		2	1
cap_myopathy		29	10
auriculocondylar_syndrome_1		17	5
leber_optic_atrophy_and_dystonia		11	5
piebaldism		341	114
maple_syrup_urine_disease__msud_		7	2
hereditary_mucosal_leukokeratosis		2	1
immunodeficiency_due_to_a_late_component_of_complement_deficiency		7	3
cutis_laxa__autosomal_dominant		4	1
glaucoma__congenital		115	33
hypospadias_1__x_linked		181	69
osteogenesis_imperfecta_type_2		10	4
osteogenesis_imperfecta_type_1		2	1
intermediate_spinal_muscular_atrophy		498	202
antley_bixler_syndrome_without_genital_anomalies_or_disordered_steroidogenesis		9	2
persistent_fetal_circulation_syndrome		43	14
currarino_triad		141	57
sitosterolemia		2	1
diamond_blackfan_anemia__dba_		101	19
benign_familial_hematuria__thin_basement_membrane_nephropathy		2	1
autosomal_dominant_severe_congenital_neutropenia		244	83
cutaneous_leishmaniasis		463	170
chronic_myelomonocytic_leukemia		6	4
uv_sensitive_syndrome		13	3
keratosis_palmoplantaris_striata		11	8
lethal_multiple_pterygium_syndrome		141	62
miller_dieker_lissencephaly_syndrome		113	41
viral_infectious_disease		262	82
familial_focal_epilepsy_with_variable_foci		3	1
intermediate_maple_syrup_urine_disease		4	1
split_hand_foot_malformation__shfm_		211	87
dermatitis_herpetiformis		3	2
curry_hall_syndrome		4	1
leigh_syndrome_with_nephrotic_syndrome		274	132
porokeratosis_of_mibelli		22	7
rare_familial_disorder_with_hypertrophic_cardiomyopathy		59	27
congenital_hypoplastic_anemia		417	145
multiple_joint_dislocations__short_stature__craniofacial_dysmorphism__and_congenital_heart_defects		218	73
scapuloperoneal_myopathy__spm_		351	145
giant_cell_arteritis__temporal_arteritis		6	2
congenital_disorder_of_glycosylation		3	2
spasm		102	25
thrombotic_thrombocytopenic_purpura		87	30
familial_congenital_mirror_movements		345	134
piebald_trait		341	114
renal_angiomyolipoma		2	1
thyroid_hypoplasia		7	4
alzheimer_s_disease__ad_		6	3
epidermal_nevus_syndrome		3	1
hiv_associated_lipodystrophy_syndrome		2	1
stevens_johnson_syndrome_and_toxic_epidermal_necrolysis__lyell_s_syndrome		4	2
polycystic_liver_disease		116	50
cutis_laxa__autosomal_recessive__type_1a		3	1
ichthyosis__cyclic__with_epidermolytic_hyperkeratosis		6	2
adrenal_insufficiency		3	1
disseminated_atypical_mycobacterial_infection		407	156
albinism__oculocutaneous__type_2		10	5
cole_carpenter_syndrome		360	141
deafness__autosomal_dominant_3a		5	3
hypoxanthine_guanine_phosphoribosyltransferase_partial_deficiency		2	1
ehlers_danlos_syndrome__classic_type		20	8
combined_deficiency_of_factor_v_and_factor_viii		47	20
combined_deficiency_of_factors_v_and_viii__f5f8d_		47	20
46_xx_sex_reversal_1		9	4
hypothyroidism_due_to_deficient_transcription_factors_involved_in_pituitary_development_or_function		167	68
neonatal_glycine_encephalopathy		3	2
retinitis_pigmentosa_deafness_syndrome		208	81
muscular_dystrophy__congenital_merosin_deficient__1a		11	6
intracranial_vasospasm		7	3
aortic_valve_disease_2		14	10
autosomal_recessive_centronuclear_myopathy		81	37
retinitis_pigmentosa_7		3	1
neurologic_waardenburg_shah_syndrome		21	8
autosomal_recessive_stickler_syndrome		31	16
carcinosarcoma		2	1
primary_hyperoxaluria__hp_		117	41
epidermolysis_bullosa__lethal_acantholytic		2	1
sost_related_sclerosing_bone_dysplasia		5	2
adenosine_monophosphate_deaminase_deficiency		2	1
autosomal_recessive_cutis_laxa_type_1		2	1
loeys_dietz_syndrome		6	5
white_sponge_nevus		2	1
poor_drug_metabolism__pm_		12	3
cerebro_facio_articular_syndrome		2	1
self_healing_collodion_baby		3	1
malpuech_facial_clefting_syndrome		6	2
myasthenic_syndrome__congenital__1a__slow_channel		11	3
striate_palmoplantar_keratoderma		11	8
generalized_junctional_epidermolysis_bullosa__non_herlitz_type		15	5
cardiofaciocutaneous_syndrome_1		12	8
jakob_creutzfeldt_disease		447	191
pleurisy		186	82
ehlers_danlos_osteogenesis_imperfecta_syndrome		2	1
bare_lymphocyte_syndrome__type_2		57	21
late_infantile_cach_syndrome		5	1
congenital_dyserythropoietic_anemia_type_i		68	30
roussy_lc_vy_syndrome		2	1
axenfeld_rieger_syndrome__ars_		2	1
brown_vialetto_van_laere_syndrome		2	1
malignant_hyperthermia		134	73
tuberous_sclerosis_complex__tsc___bourneville_pringle_disease		2	1
arc_syndrome		2	1
episodic_ataxias		267	96
deafness__autosomal_recessive_1a		7	2
hereditary_breast_and_ovarian_cancer_syndrome		35	17
silent_pituitary_adenoma		19	10
silver_russell_syndrome_due_to_a_point_mutation		7	5
andersen_tawil_syndrome		6	1
atrial_standstill		42	25
rickets		481	209
x_linked_diffuse_leiomyomatosis_alport_syndrome		2	1
hermansky_pudlak_syndrome_with_pulmonary_fibrosis		2	1
congenital_nephrogenic_diabetes_insipidus__ndi_		24	13
branchiootic_syndrome		2	1
optic_atrophies__hereditary		11	5
penile_neoplasm		28	18
autosomal_dominant_hypohidrotic_ectodermal_dysplasia		80	38
thiamine_responsive_maple_syrup_urine_disease		4	1
benign_familial_hematuria		2	1
neu_laxova_syndrome_1		2	1
kabuki_syndrome_1		2	1
addison_s_disease		30	12
loeys_dietz_syndrome__lds_		6	5
hereditary_persistence_of_fetal_hemoglobin_sickle_cell_disease_syndrome		64	27
brachydactyly__type_a2		10	6
sick_sinus_syndrome__sss___sinus_node_dysfunction		9	4
metaphyseal_anadysplasia		311	140
cardiac_arrest		2	1
polymyositis		282	113
entamoebiasis		30	12
opll		318	121
desmoid_type_fibromatosis		3	1
deep_vein_thrombosis__dvt_		21	7
factor_xiii_deficiency		2	1
fanconi_syndrome		152	36
pulmonary_surfactant_metabolism_dysfunction__smdp_		10	3
glanzmann_s_thrombasthenia		4	1
melanoma__cutaneous_malignant__susceptibility_to__8		39	16
familial_cold_autoinflammatory_syndrome		5	2
congenital_myasthenic_syndrome_1b		3	2
leber_plus_disease		11	5
xeroderma_pigmentosum_cockayne_syndrome_complex		20	6
oculocutaneous_albinism		39	16
microphthalmia_with_linear_skin_defects_syndrome		175	65
corneal_neovascularization		262	92
restrictive_cardiomyopathy__rcm_		31	18
familial_hypodysfibrinogenemia		3	1
bloom_syndrome		278	105
synaptic_congenital_myasthenic_syndromes		462	176
waardenburg_shah_syndrome		53	17
